,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
141,Kris Dunn,PG,23,CHI,52,43,1525,9.2,21.3,0.429,1.4,4.3,0.321,7.8,17.0,0.457,2.7,3.6,0.737,0.8,6.3,7.1,9.9,3.3,0.9,4.8,5.6,22.4,96.0,107.0,14.5,0.488,0.201,0.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1.0,1.9,0.9,0.027000000000000003,-1.4,1.4,-0.1,0.7,2018
142,Kevin Durant,PF,29,GSW,68,68,2325,13.1,25.3,0.516,3.6,8.6,0.419,9.5,16.8,0.565,7.4,8.4,0.889,0.6,9.0,9.6,7.6,1.0,2.5,4.3,2.8,37.1,119.0,107.0,26.0,0.64,0.33799999999999997,0.331,1.6,19.5,11.2,25.5,1.0,4.0,12.9,30.4,7.5,2.9,10.4,0.215,5.0,0.7,5.6,4.5,2018
143,Jarell Eddie,SF,26,TOT,3,0,9,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,100.0,-1.9,0.0,1.0,0.0,0.0,12.0,6.1,0.0,5.6,0.0,0.0,9.8,0.0,0.0,0.0,-0.142,-10.0,1.6,-8.4,0.0,2018
144,Henry Ellenson,PF,21,DET,38,0,329,8.0,22.1,0.363,3.0,9.1,0.33299999999999996,5.0,13.0,0.384,3.8,4.4,0.862,1.5,10.8,12.3,3.0,0.8,0.0,2.7,3.3,22.9,95.0,108.0,10.5,0.47600000000000003,0.41100000000000003,0.19899999999999998,3.3,24.3,13.6,9.4,0.8,0.0,10.2,23.8,-0.2,0.4,0.1,0.02,-4.3,-2.6,-6.8,-0.4,2018
145,Wayne Ellington,SG,30,MIA,77,2,2041,7.0,17.2,0.40700000000000003,5.6,14.2,0.392,1.4,3.0,0.479,1.6,1.9,0.8590000000000001,0.6,4.8,5.4,1.9,1.3,0.2,1.3,2.3,21.3,113.0,110.0,12.5,0.588,0.8270000000000001,0.111,1.3,10.7,6.0,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1.8,-1.8,0.0,1.0,2018
146,Joel Embiid,C,23,PHI,63,63,1912,12.8,26.6,0.483,1.7,5.4,0.308,11.2,21.2,0.527,9.0,11.7,0.769,3.6,13.8,17.4,5.0,1.0,2.8,5.9,5.3,36.3,106.0,100.0,22.9,0.573,0.203,0.442,8.4,29.7,19.4,18.0,1.0,4.8,15.6,33.4,2.3,3.8,6.2,0.155,0.1,2.5,2.6,2.2,2018
147,James Ennis,SF,27,TOT,72,22,1604,5.7,12.0,0.474,1.6,4.8,0.33299999999999996,4.1,7.2,0.5670000000000001,3.0,3.6,0.836,2.3,4.7,7.0,2.2,1.5,0.6,1.8,4.2,16.1,115.0,112.0,11.6,0.588,0.39799999999999996,0.302,5.1,11.0,8.0,6.6,1.5,1.0,11.4,13.7,2.0,1.1,3.1,0.092,-0.6,-0.5,-1.1,0.4,2018
148,Tyler Ennis,PG,23,LAL,54,11,683,6.6,15.7,0.42,1.0,3.9,0.25,5.6,11.8,0.47600000000000003,1.5,2.0,0.759,1.3,5.3,6.7,7.4,2.1,0.7,2.7,5.3,15.7,101.0,108.0,11.1,0.473,0.25,0.129,3.0,11.8,7.4,21.9,2.1,1.2,13.8,17.1,0.1,0.7,0.8,0.057999999999999996,-2.8,-0.1,-2.9,-0.1,2018
149,Jawun Evans,PG,21,LAC,48,4,778,5.6,15.8,0.35200000000000004,0.9,3.4,0.278,4.6,12.4,0.37200000000000005,2.4,3.1,0.7759999999999999,0.6,4.7,5.3,6.3,2.3,0.4,2.8,6.1,14.4,90.0,111.0,7.2,0.42100000000000004,0.213,0.19399999999999998,1.3,10.4,5.9,17.8,2.3,0.6,13.8,17.7,-0.8,0.6,-0.2,-0.011000000000000001,-4.2,-0.5,-4.7,-0.5,2018
150,Jeremy Evans,SF,30,ATL,1,0,5,9.8,9.8,1.0,0.0,0.0,0.0,9.8,9.8,1.0,0.0,0.0,0.0,9.8,0.0,9.8,0.0,0.0,0.0,9.8,9.8,19.5,96.0,119.0,10.4,1.0,0.0,0.0,22.3,0.0,11.2,0.0,0.0,0.0,50.0,17.5,0.0,0.0,0.0,-0.027999999999999997,-2.3,-6.0,-8.3,0.0,2018
