,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
689,Taj Gibson,PF,31.0,TOT,78.0,1989.0,15.0,0.5429999999999999,0.018000000000000002,0.223,8.6,17.9,13.2,5.9,1.0,2.6,11.9,19.3,1.6,2.5,4.0,0.09699999999999999,-2.4,0.3,-2.1,-0.1
690,Manu Ginobili,SG,39.0,SAS,69.0,1291.0,13.9,0.532,0.517,0.244,2.5,11.1,6.9,20.8,3.2,1.0,16.5,20.4,0.6,2.4,3.0,0.11,0.5,1.4,1.9,1.3
691,Rudy Gobert,C,24.0,UTA,81.0,2744.0,23.3,0.6809999999999999,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15.0,16.7,8.3,6.0,14.3,0.25,1.4,4.5,5.8,5.4
692,Archie Goodwin,SG,22.0,TOT,15.0,214.0,18.7,0.6509999999999999,0.22699999999999998,0.636,3.5,10.3,6.9,18.5,0.9,1.8,14.2,19.8,0.6,0.1,0.7,0.153,0.6,-1.7,-1.1,0.0
693,Aaron Gordon,SF,21.0,ORL,80.0,2298.0,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,0.077,-0.2,-0.4,-0.7,0.8
694,Eric Gordon,SG,28.0,HOU,75.0,2323.0,13.2,0.557,0.6509999999999999,0.172,1.4,8.1,4.7,12.3,1.0,1.4,10.0,22.1,2.5,1.4,3.8,0.079,1.0,-2.4,-1.4,0.4
695,Marcin Gortat,C,32.0,WAS,82.0,2556.0,15.4,0.593,0.003,0.23600000000000002,10.6,26.8,18.7,6.8,0.8,2.0,13.8,14.7,3.9,2.9,6.8,0.127,-0.9,1.2,0.3,1.5
696,Treveon Graham,SG,23.0,CHO,27.0,189.0,10.6,0.612,0.375,0.375,2.9,10.0,6.4,4.7,1.6,0.5,6.0,11.8,0.3,0.2,0.4,0.10800000000000001,-1.5,-1.3,-2.8,0.0
697,Jerami Grant,PF,22.0,TOT,80.0,1531.0,10.1,0.556,0.354,0.44799999999999995,2.7,12.1,7.4,4.2,1.1,4.1,10.1,12.1,1.1,1.8,2.9,0.091,-3.0,0.9,-2.1,0.0
698,Jerian Grant,PG,24.0,CHI,63.0,1028.0,13.2,0.555,0.445,0.243,1.8,9.9,5.8,17.4,2.3,0.6,11.7,16.0,1.4,1.2,2.5,0.11900000000000001,0.0,-0.3,-0.3,0.4
699,Danny Green,SG,29.0,SAS,68.0,1807.0,10.1,0.537,0.693,0.071,2.0,11.8,7.0,9.6,2.0,2.6,14.1,13.5,0.4,3.0,3.4,0.09,-0.3,2.7,2.4,2.0
700,Draymond Green,PF,26.0,GSW,76.0,2471.0,16.5,0.522,0.405,0.32799999999999996,4.7,20.9,13.3,27.6,3.0,3.4,19.8,16.2,2.8,5.4,8.2,0.16,0.5,5.0,5.4,4.6
