,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
90,Willie Cauley-Stein,C,24,SAC,73,58,2044,9.6,19.1,0.502,0.1,0.3,0.25,9.5,18.8,0.506,3.8,6.1,0.619,3.2,9.4,12.6,4.3,1.9,1.7,2.7,4.6,23.1,106.0,108.0,17.6,0.529,0.016,0.32,7.0,22.0,14.2,13.7,1.9,3.1,11.0,21.8,1.7,2.2,3.9,0.092,-1.3,1.7,0.4,1.2,2018
92,Mario Chalmers,PG,31,MEM,66,10,1421,6.0,15.8,0.379,1.9,6.8,0.277,4.1,9.0,0.456,4.2,4.9,0.855,0.5,5.1,5.6,7.0,2.8,0.5,4.2,6.4,18.0,96.0,110.0,10.4,0.503,0.431,0.312,1.0,12.0,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,0.021,-2.2,-0.5,-2.7,-0.3,2018
94,Wilson Chandler,SF,30,DEN,74,71,2346,5.9,13.3,0.445,1.9,5.2,0.358,4.1,8.1,0.501,1.9,2.4,0.772,2.2,6.3,8.4,3.4,0.9,0.8,1.9,3.3,15.6,110.0,113.0,10.9,0.542,0.39,0.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-0.5,-0.4,-0.9,0.6,2018
95,Marquese Chriss,PF,20,PHO,72,49,1527,6.3,15.0,0.423,1.8,6.0,0.295,4.6,9.0,0.509,3.0,5.0,0.608,2.4,10.0,12.4,2.6,1.6,2.2,3.4,6.4,17.4,95.0,109.0,11.1,0.509,0.398,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,-0.8,1.5,0.7,0.023,-3.3,1.3,-2.0,0.0,2018
96,Ian Clark,SG,26,NOP,74,2,1455,7.3,16.2,0.448,2.0,6.4,0.318,5.2,9.8,0.5329999999999999,1.5,1.9,0.763,0.3,3.8,4.2,3.6,1.1,0.3,1.9,3.9,18.1,102.0,112.0,9.4,0.529,0.394,0.119,0.8,8.4,4.7,10.4,1.1,0.5,9.9,17.2,0.3,0.8,1.1,0.037000000000000005,-2.0,-2.0,-3.9,-0.7,2018
97,Jordan Clarkson,SG,25,TOT,81,2,1888,11.0,24.4,0.451,2.9,8.1,0.35200000000000004,8.1,16.2,0.5,3.9,4.9,0.8,1.5,4.1,5.5,5.6,1.5,0.2,3.2,2.7,28.7,106.0,112.0,16.4,0.542,0.333,0.199,3.3,9.1,6.2,19.3,1.5,0.3,10.9,26.5,1.9,1.2,3.0,0.077,0.8,-2.7,-1.9,0.1,2018
100,John Collins,PF,20,ATL,74,26,1785,8.6,14.9,0.5760000000000001,0.4,1.3,0.34,8.2,13.6,0.598,3.6,5.1,0.715,4.8,10.0,14.8,2.7,1.3,2.2,2.9,5.9,21.3,117.0,108.0,18.3,0.62,0.086,0.341,11.0,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2.0,5.4,0.145,-0.2,1.9,1.7,1.7,2018
101,Zach Collins,C,20,POR,66,1,1045,5.5,13.8,0.398,1.7,5.4,0.31,3.8,8.4,0.455,1.3,2.0,0.643,2.1,8.4,10.5,2.5,0.8,1.5,2.8,6.3,13.9,93.0,107.0,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3,2018
103,Darren Collison,PG,30,IND,69,64,2018,7.8,15.8,0.495,2.4,5.1,0.468,5.4,10.7,0.508,3.1,3.6,0.882,0.9,3.5,4.4,9.1,2.3,0.4,2.1,3.0,21.2,126.0,110.0,18.8,0.61,0.321,0.226,2.1,7.8,5.0,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.181,3.1,-1.0,2.2,2.1,2018
106,Pat Connaughton,SG,25,POR,82,5,1488,5.5,13.0,0.423,2.5,7.0,0.35200000000000004,3.0,6.0,0.506,1.2,1.5,0.841,1.2,4.2,5.4,3.0,0.8,0.7,1.4,4.0,14.7,110.0,110.0,9.3,0.539,0.5379999999999999,0.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,1.2,1.3,2.5,0.08,-0.9,-0.4,-1.3,0.3,2018
112,Robert Covington,SF,27,PHI,80,80,2532,6.6,15.9,0.413,3.9,10.4,0.369,2.7,5.4,0.4970000000000001,2.2,2.6,0.853,1.0,7.2,8.2,3.0,2.6,1.4,2.4,4.5,19.2,107.0,103.0,12.9,0.563,0.6579999999999999,0.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,1.6,4.5,6.1,0.116,0.4,2.1,2.5,2.9,2018
113,Allen Crabbe,SG,25,BRK,75,68,2197,7.4,18.3,0.407,4.4,11.8,0.378,3.0,6.5,0.461,2.5,3.0,0.852,0.6,6.5,7.2,2.6,1.0,0.8,1.7,3.7,21.9,108.0,112.0,12.3,0.5579999999999999,0.643,0.163,1.3,14.4,7.8,8.4,1.0,1.2,8.1,19.0,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7,2018
115,Jamal Crawford,SG,37,MIN,80,0,1653,9.3,22.4,0.415,3.1,9.5,0.331,6.2,12.9,0.477,3.1,3.4,0.903,0.6,2.4,3.0,5.6,1.2,0.3,2.9,2.6,24.9,104.0,116.0,13.0,0.519,0.423,0.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,0.9,0.3,1.3,0.037000000000000005,0.0,-4.0,-3.9,-0.8,2018
117,Jae Crowder,SF,27,TOT,80,47,2090,6.4,15.9,0.404,2.6,8.1,0.32299999999999995,3.8,7.8,0.488,2.9,3.5,0.818,1.4,5.1,6.5,2.3,1.5,0.5,1.7,4.4,18.3,105.0,111.0,10.4,0.525,0.508,0.221,3.2,11.5,7.4,6.9,1.5,0.9,9.1,17.3,1.0,1.6,2.6,0.06,-0.8,-0.9,-1.7,0.1,2018
