,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
219,Ryan Hollins,C,30,SAC,46,9,441,6.0,9.4,0.6459999999999999,0.0,0.0,,6.0,9.4,0.6459999999999999,3.5,6.2,0.574,4.1,7.6,11.8,1.6,0.7,2.2,2.9,7.4,15.6,115,109,13.1,0.648,0.0,0.659,9.6,16.6,13.2,5.0,0.7,3.4,19.1,13.1,0.7,0.3,1.0,0.10400000000000001,-1.4,0.0,-1.4,0.1,2015
220,Rodney Hood,SG,22,UTA,50,21,1064,7.7,18.7,0.414,3.1,8.5,0.365,4.6,10.2,0.456,3.0,4.0,0.763,0.4,5.4,5.8,4.1,1.5,0.6,2.2,5.9,21.6,108,107,12.3,0.529,0.455,0.214,1.0,11.7,6.4,13.2,1.5,0.9,9.9,19.6,1.3,0.9,2.2,0.098,0.2,-1.3,-1.1,0.2,2015
221,Al Horford,C,28,ATL,76,76,2318,11.4,21.3,0.5379999999999999,0.2,0.8,0.306,11.2,20.5,0.547,2.4,3.1,0.759,2.9,9.1,12.0,5.4,1.5,2.2,2.2,2.7,25.5,114,102,21.4,0.563,0.037000000000000005,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,1.3,2.5,3.8,3.4,2015
222,Dwight Howard,C,29,HOU,41,41,1223,10.2,17.2,0.593,0.0,0.1,0.5,10.2,17.1,0.594,5.8,11.0,0.528,4.5,13.0,17.5,2.0,1.1,2.2,4.7,5.6,26.3,105,100,19.2,0.596,0.005,0.6409999999999999,10.0,28.9,19.5,7.3,1.1,3.4,17.5,23.3,1.4,2.2,3.6,0.14,-2.4,1.2,-1.2,0.3,2015
223,Lester Hudson,SG,30,LAC,5,0,56,5.4,12.7,0.429,2.7,5.4,0.5,2.7,7.2,0.375,2.7,3.6,0.75,0.9,6.3,7.2,4.5,5.4,0.9,2.7,3.6,16.3,108,98,16.0,0.5710000000000001,0.429,0.28600000000000003,2.1,13.8,8.0,12.6,5.4,1.5,16.0,15.1,0.1,0.1,0.2,0.141,0.0,3.3,3.3,0.1,2015
224,Robbie Hummel,SF,25,MIN,45,4,742,5.4,11.8,0.45899999999999996,1.1,3.5,0.314,4.3,8.3,0.521,1.6,2.0,0.828,2.1,7.1,9.2,1.9,1.1,0.6,1.2,5.9,13.6,110,113,9.7,0.536,0.297,0.16899999999999998,4.6,16.4,10.3,5.6,1.1,1.0,8.9,12.1,0.7,0.1,0.8,0.05,-1.8,-1.6,-3.5,-0.3,2015
225,Kris Humphries,PF,29,WAS,64,17,1345,8.0,17.0,0.473,0.0,0.3,0.0,8.0,16.7,0.48100000000000004,3.3,4.5,0.7440000000000001,4.5,11.4,15.8,2.2,1.3,1.0,1.8,5.0,19.4,108,101,15.4,0.512,0.016,0.262,10.1,24.4,17.4,6.7,1.3,1.5,8.5,18.3,1.6,2.1,3.8,0.134,-2.0,0.7,-1.3,0.2,2015
226,Serge Ibaka,PF,25,OKC,64,64,2116,8.9,18.6,0.47600000000000003,1.8,4.9,0.376,7.0,13.8,0.511,2.2,2.6,0.836,3.2,8.6,11.8,1.3,0.7,3.7,2.3,4.6,21.7,109,104,16.6,0.5489999999999999,0.261,0.14,7.0,18.1,12.6,4.2,0.7,5.8,10.4,18.9,2.9,2.7,5.6,0.127,-0.5,1.3,0.8,1.5,2015
227,Andre Iguodala,SF,31,GSW,77,0,2069,5.5,11.7,0.466,1.7,5.0,0.349,3.7,6.7,0.5529999999999999,1.6,2.7,0.596,1.0,5.0,6.1,5.4,2.1,0.6,2.1,2.4,14.3,110,103,12.3,0.5529999999999999,0.42700000000000005,0.23,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,2.3,2.8,5.1,0.11699999999999999,0.1,1.5,1.6,1.9,2015
228,Ersan Ilyasova,PF,27,MIL,58,36,1319,10.2,21.5,0.47200000000000003,2.9,7.3,0.389,7.3,14.2,0.515,2.7,4.1,0.645,3.1,7.6,10.7,2.2,1.4,0.7,1.7,5.8,25.9,111,103,16.8,0.5539999999999999,0.341,0.192,7.0,17.0,12.0,7.4,1.4,1.2,6.9,22.1,2.3,1.7,4.0,0.146,1.2,-1.4,-0.2,0.6,2015
229,Joe Ingles,SF,27,UTA,79,32,1673,4.7,11.2,0.415,2.3,6.4,0.35600000000000004,2.4,4.8,0.493,1.0,1.3,0.75,0.7,4.9,5.6,5.8,2.3,0.3,3.1,3.9,12.6,101,106,9.6,0.5329999999999999,0.5710000000000001,0.113,1.5,10.5,6.0,16.8,2.3,0.5,20.9,12.9,0.5,1.6,2.2,0.062,-1.1,0.3,-0.8,0.5,2015
230,Kyrie Irving,PG,22,CLE,75,75,2730,11.0,23.5,0.46799999999999997,3.0,7.2,0.415,8.0,16.3,0.491,6.0,7.0,0.863,1.0,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31.0,117,108,21.5,0.583,0.306,0.29600000000000004,2.3,7.5,5.0,25.0,2.2,0.6,11.8,26.2,8.4,2.0,10.4,0.183,4.7,-1.4,3.3,3.7,2015
231,Jarrett Jack,PG,31,BRK,80,27,2241,8.3,18.9,0.439,0.9,3.4,0.267,7.4,15.5,0.47700000000000004,4.6,5.2,0.8809999999999999,0.4,5.2,5.7,8.6,1.7,0.3,4.4,3.3,22.1,101,109,14.6,0.522,0.179,0.278,1.0,11.3,6.1,27.3,1.7,0.5,17.2,22.6,1.1,1.4,2.6,0.055,-0.5,-1.0,-1.5,0.3,2015
232,Reggie Jackson,PG,24,TOT,77,40,2268,9.7,22.3,0.434,1.6,5.4,0.299,8.1,16.9,0.47700000000000004,4.0,4.9,0.83,1.3,6.1,7.3,10.3,1.4,0.2,4.2,3.7,25.0,106,108,17.2,0.511,0.242,0.21899999999999997,2.6,12.9,7.8,34.8,1.4,0.3,14.6,24.6,3.3,1.7,4.9,0.10400000000000001,1.9,-1.2,0.8,1.6,2015
233,Bernard James,C,29,DAL,16,2,158,3.8,8.6,0.444,0.0,0.0,,3.8,8.6,0.444,6.4,7.3,0.87,5.7,6.7,12.5,1.3,0.6,4.8,1.9,5.4,14.0,125,105,16.0,0.593,0.0,0.852,12.5,14.6,13.5,3.4,0.6,7.7,13.9,12.2,0.4,0.2,0.5,0.165,-1.3,2.9,1.6,0.1,2015
234,LeBron James,SF,30,CLE,69,69,2493,13.0,26.7,0.488,2.5,7.1,0.354,10.5,19.6,0.536,7.8,11.0,0.71,1.1,7.6,8.7,10.7,2.3,1.0,5.7,2.8,36.3,112,105,25.9,0.5770000000000001,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,0.19899999999999998,6.2,1.2,7.4,5.9,2015
